iter	Passed	Remaining
418	2867	17663
419	2873	17650
420	2878	17635
421	2884	17622
422	2890	17609
423	2896	17598
424	2903	17591
425	2909	17582
426	2916	17574
427	2923	17567
428	2930	17560
429	2935	17547
430	2942	17537
431	2949	17530
432	2954	17517
433	2960	17506
434	2966	17491
435	2972	17480
436	2980	17478
437	2986	17467
438	2992	17457
439	2998	17447
440	3004	17432
441	3009	17418
442	3015	17405
443	3021	17394
444	3027	17383
445	3033	17373
446	3040	17364
447	3046	17355
448	3053	17347
449	3060	17340
450	3065	17327
451	3072	17318
452	3079	17312
453	3086	17306
454	3091	17293
455	3097	17279
456	3104	17274
457	3110	17265
458	3116	17254
459	3122	17243
460	3131	17245
461	3140	17254
462	3149	17255
463	3155	17248
464	3161	17234
465	3167	17223
466	3173	17214
467	3179	17203
468	3186	17196
469	3193	17190
470	3201	17188
471	3207	17178
472	3213	17166
473	3219	17155
474	3224	17142
475	3230	17130
476	3237	17123
477	3244	17119
478	3249	17103
479	3257	17100
480	3262	17087
481	3268	17076
482	3274	17065
483	3280	17050
484	3286	17041
485	3292	17032
486	3298	17021
487	3305	17016
488	3311	17006
489	3317	16995
490	3323	16985
491	3331	16981
492	3337	16972
493	3344	16967
494	3351	16960
495	3358	16953
496	3364	16945
497	3371	16937
498	3381	16946
499	3388	16941
500	3395	16936
501	3401	16928
502	3408	16919
503	3416	16917
504	3422	16907
505	3429	16903
506	3435	16892
507	3441	16880
508	3448	16875
509	3454	16866
510	3462	16866
511	3469	16857
512	3475	16851
513	3483	16849
514	3490	16842
515	3496	16834
516	3503	16827
517	3509	16817
518	3516	16808
519	3522	16799
520	3529	16794
521	3535	16784
522	3543	16780
523	3549	16773
524	3556	16764
525	3563	16759
526	3569	16750
527	3576	16744
528	3583	16740
529	3590	16734
530	3597	16725
531	3602	16713
532	3609	16705
533	3616	16699
534	3621	16686
535	3628	16677
536	3633	16666
537	3640	16657
538	3645	16646
539	3652	16639
540	3662	16646
541	3669	16641
542	3676	16635
543	3682	16624
544	3688	16613
545	3694	16606
546	3701	16598
547	3708	16593
548	3714	16585
549	3721	16576
550	3727	16566
551	3733	16558
552	3739	16546
553	3747	16546
554	3753	16535
555	3759	16524
556	3765	16517
557	3772	16508
558	3778	16499
559	3784	16491
560	3791	16483
561	3797	16473
562	3803	16465
563	3810	16458
564	3816	16449
565	3822	16439
566	3829	16433
567	3835	16424
568	3843	16421
569	3850	16413
570	3856	16407
571	3863	16397
572	3868	16384
573	3874	16376
574	3880	16365
575	3887	16360
576	3893	16352
577	3900	16344
578	3907	16339
579	3912	16326
580	3918	16315
581	3926	16311
582	3931	16299
583	3937	16289
584	3944	16285
585	3951	16276
586	3958	16272
587	3964	16261
588	3971	16256
589	3978	16251
590	3985	16244
591	3991	16236
592	3998	16228
593	4005	16224
594	4012	16218
595	4019	16212
596	4025	16201
